Company Name,Country Founded,Year Founded,Revenue 2018,Revenue 2019,Revenue 2020,Net Income 2018,Net Income 2019,Net Income 2020,Industry,Number of Employees,Founder
Royal Dutch Shell,Netherlands,1907,388400000000.0,388600000000.0,353700000000.0,23900000000.0,21300000000.0,11300000000.0,Oil,92000,"Marcus Samuel, Samuel Samuel"
BP,United Kingdom,1909,303700000000.0,303400000000.0,257700000000.0,6200000000.0,3800000000.0,3300000000.0,Oil,73000,William Knox D'Arcy
Walgreens Boots Alliance,United States,1901,131500000000.0,131800000000.0,134600000000.0,6200000000.0,6700000000.0,7700000000.0,Healthcare,385000,Charles R. Walgreen Sr.
CVS Health,United States,1963,178500000000.0,184600000000.0,256200000000.0,6700000000.0,7900000000.0,10500000000.0,Healthcare,300000,"Stanley Goldstein, Ralph Hoagland"
Intel,United States,1968,70800000000.0,72000000000.0,77900000000.0,21000000000.0,21100000000.0,25800000000.0,Technology,107000,"Robert Noyce, Gordon Moore"
Goldman Sachs,United States,1869,32200000000.0,32700000000.0,32800000000.0,7600000000.0,9800000000.0,11300000000.0,Investment,36600,"Marcus Goldman, Samuel Sachs"
Visa,United States,1970,20600000000.0,21500000000.0,22300000000.0,9000000000.0,9900000000.0,10900000000.0,Financial services,19600,Dee Hock
Merck,Germany,1668,42800000000.0,43300000000.0,46900000000.0,10300000000.0,11000000000.0,12600000000.0,Healthcare,71000,Merck family
Verizon,United States,2000,131900000000.0,131900000000.0,131900000000.0,18500000000.0,18500000000.0,18500000000.0,Telecommunications,153400,Bell Telephone Company
BMW,Germany,1916,98700000000.0,104200000000.0,95200000000.0,8100000000.0,9400000000.0,6500000000.0,Automotive,134682,Karl Rapp
Porsche,Germany,1931,25500000000.0,27400000000.0,26500000000.0,3900000000.0,5300000000.0,3900000000.0,Automotive,30053,Ferdinand Porsche
Ferrari,Italy,1947,3500000000.0,3600000000.0,3700000000.0,309000000.0,318000000.0,299000000.0,Automotive,7000,Enzo Ferrari
Lamborghini,Italy,1963,1500000000.0,1600000000.0,1500000000.0,38000000.0,44000000.0,36000000.0,Automotive,1500,Ferruccio Lamborghini
Audi,Germany,1909,60700000000.0,60500000000.0,59100000000.0,5900000000.0,5800000000.0,5500000000.0,Automotive,90566,August Horch
Inditex,Spain,1975,27400000000.0,28800000000.0,30000000000.0,4600000000.0,5300000000.0,6000000000.0,Retail,162450,Amancio Ortega
Total,France,1924,178600000000.0,174300000000.0,169600000000.0,9700000000.0,8800000000.0,7300000000.0,Oil,99869,Margerie family
Sanofi,France,2004,35600000000.0,35800000000.0,35900000000.0,7100000000.0,7500000000.0,7700000000.0,Healthcare,105000,Sanofi family
L'Oreal,France,1909,30800000000.0,30800000000.0,29900000000.0,3900000000.0,3900000000.0,3600000000.0,Consumer goods,87000,Eugene Schueller
AXA,France,1816,100100000000.0,100600000000.0,97500000000.0,4700000000.0,5100000000.0,4800000000.0,Financial services,167000,Henri Germain
Voestalpine,Austria,1948,10500000000.0,10800000000.0,10900000000.0,617000000.0,557000000.0,522000000.0,Steel,49000,Federal Government of Austria
OMV,Austria,1956,28600000000.0,30100000000.0,27900000000.0,1400000000.0,1600000000.0,1100000000.0,Oil,23000,Federal Government of Austria
Raiffeisen Bank International,Austria,1880,5600000000.0,5900000000.0,6100000000.0,429000000.0,487000000.0,503000000.0,Banking,46000,Friedrich Wilhelm Raiffeisen
Volkswagen,Germany,1937,260000000000.0,256400000000.0,221600000000.0,14300000000.0,10900000000.0,8600000000.0,Automotive,646000,Ferdinand Porsche
Daimler,Germany,1926,174300000000.0,182200000000.0,163100000000.0,9900000000.0,9900000000.0,7200000000.0,Automotive,289973,Gottlieb Daimler
Siemens,Germany,1847,88500000000.0,87100000000.0,78900000000.0,5600000000.0,4400000000.0,4400000000.0,Technology,350000,Werner von Siemens
Allianz,Germany,1890,143700000000.0,147100000000.0,132900000000.0,10800000000.0,11200000000.0,9200000000.0,Insurance,142942,Carl von Thieme
BASF,Germany,1865,65000000000.0,64200000000.0,58600000000.0,6700000000.0,6400000000.0,4900000000.0,Chemicals,110441,Friedrich Engelhorn
Deutsche Bank,Germany,1870,40400000000.0,40400000000.0,32800000000.0,1300000000.0,1300000000.0,2200000000.0,Banking,91474,Adelbert Delbrück
EON,Germany,2000,61500000000.0,61800000000.0,53500000000.0,2200000000.0,2700000000.0,2400000000.0,Utilities,72000,Johannes Schmidt-Jortzig
Linde,Germany,1879,28600000000.0,27800000000.0,25300000000.0,2900000000.0,3300000000.0,2900000000.0,Industrial gases,69000,Carl von Linde
DHL,Germany,1969,59600000000.0,60400000000.0,61100000000.0,2800000000.0,2900000000.0,3200000000.0,Logistics,489000,"Adrian Dalsey, Larry Hillblom, Robert Lynn"
Deutsche Telekom,Germany,1995,80900000000.0,81100000000.0,80100000000.0,5600000000.0,5600000000.0,5500000000.0,Telecommunications,228000,Federal Government of Germany
SAP,Germany,1972,27900000000.0,27800000000.0,27700000000.0,6500000000.0,6600000000.0,6600000000.0,Technology,101187,"Dietmar Hopp, Hasso Plattner, Klaus Tschira"
Henkel,Germany,1876,22400000000.0,22700000000.0,22100000000.0,2900000000.0,2900000000.0,2600000000.0,Consumer goods,53557,Fritz Henkel
Bosch,Germany,1886,78300000000.0,78300000000.0,77500000000.0,6400000000.0,6400000000.0,6400000000.0,Technology,402000,Robert Bosch
Continental,Germany,1871,44600000000.0,44800000000.0,43700000000.0,3500000000.0,3600000000.0,3500000000.0,Automotive,244000,Mathias Hübner
Deutsche Post,Germany,1995,70200000000.0,70600000000.0,69500000000.0,2900000000.0,2900000000.0,2900000000.0,Postal service,513000,Federal Government of Germany
Bayer,Germany,1863,35500000000.0,35200000000.0,33800000000.0,4900000000.0,4800000000.0,4400000000.0,Healthcare,117000,Friedrich Bayer
Metro,Germany,1964,37200000000.0,37400000000.0,37000000000.0,1400000000.0,1500000000.0,1400000000.0,Retail,150000,Otto Beisheim
Beiersdorf,Germany,1882,7400000000.0,7400000000.0,7400000000.0,894000000.0,927000000.0,902000000.0,Consumer goods,18000,Paul Carl Beiersdorf
Adidas,Germany,1949,21200000000.0,21300000000.0,22100000000.0,1100000000.0,1200000000.0,1200000000.0,Footwear,61600,"Adolf ""Adi"" Dassler"
Nivea,Germany,1911,6200000000.0,6200000000.0,6100000000.0,639000000.0,666000000.0,640000000.0,Personal care,11700,Paul Carl Beiersdorf
Sony,Japan,1946,76600000000.0,77900000000.0,77500000000.0,5500000000.0,5800000000.0,5500000000.0,Technology,110700,Masaru Ibuka
Honda,Japan,1948,136700000000.0,135600000000.0,120100000000.0,6200000000.0,5600000000.0,3900000000.0,Automotive,187000,Soichiro Honda
Nintendo,Japan,1889,9700000000.0,10400000000.0,11000000000.0,823000000.0,1100000000.0,1200000000.0,Technology,5500,Fusajiro Yamauchi
Canon,Japan,1937,33300000000.0,36000000000.0,33200000000.0,2600000000.0,3100000000.0,2500000000.0,Technology,168000,Goro Yoshida
Panasonic,Japan,1918,76400000000.0,75500000000.0,68200000000.0,1300000000.0,1400000000.0,824000000.0,Technology,256000,Konosuke Matsushita
Fujifilm,Japan,1934,22300000000.0,22600000000.0,21700000000.0,880000000.0,943000000.0,724000000.0,Technology,75000,Kazumasa Ushijima
Mitsubishi,Japan,1870,61900000000.0,62800000000.0,58600000000.0,1600000000.0,1600000000.0,1100000000.0,Automotive,166000,Yataro Iwasaki
NEC,Japan,1899,40400000000.0,40400000000.0,37200000000.0,341000000.0,293000000.0,346000000.0,Technology,20000,Kazuo Iwama
Sharp,Japan,1912,9000000000.0,9100000000.0,8500000000.0,376000000.0,440000000.0,387000000.0,Technology,53000,Tokuji Hayakawa
Toshiba,Japan,1939,20400000000.0,20700000000.0,19600000000.0,314000000.0,310000000.0,382000000.0,Technology,200000,Tanaka Hisashige
Tencent,China,1998,39200000000.0,44900000000.0,56800000000.0,11500000000.0,16600000000.0,20200000000.0,Technology,49000,Ma Huateng
China Mobile,China,1997,123400000000.0,121700000000.0,115400000000.0,17800000000.0,16300000000.0,15600000000.0,Telecommunications,491000,Yang Jie
China Petroleum,China,1988,387200000000.0,402700000000.0,360900000000.0,17600000000.0,21400000000.0,17100000000.0,"Oil, gas, petrochemicals",1330000,Wang Yilin
China State Grid,China,2002,412700000000.0,441500000000.0,410800000000.0,23500000000.0,28100000000.0,26200000000.0,"Electricity, natural gas, water",1730000,Liu Zhenya
China Railway,China,2008,119600000000.0,129500000000.0,117300000000.0,8500000000.0,9700000000.0,8800000000.0,"Rail transportation, engineering",2150000,Sheng Guangzu
Gazprom,Russia,1989,104600000000.0,115900000000.0,117600000000.0,14800000000.0,17600000000.0,17900000000.0,Oil and gas,444000,Government of Russia
Rosneft,Russia,1993,71300000000.0,73300000000.0,75900000000.0,4400000000.0,6400000000.0,8400000000.0,Oil and gas,456000,Government of Russia
Sberbank,Russia,1841,49200000000.0,50500000000.0,51800000000.0,9500000000.0,10500000000.0,11500000000.0,Banking,287000,Government of Russia
Lukoil,Russia,1991,66400000000.0,68400000000.0,69400000000.0,6100000000.0,7100000000.0,8100000000.0,Oil and gas,101000,Vagit Alekperov
Novatek,Russia,1993,17700000000.0,19500000000.0,21300000000.0,1700000000.0,2500000000.0,3300000000.0,Oil and gas,50000,Leonid Mikhelson
Belaruskali,Belarus,1966,2300000000.0,2400000000.0,2500000000.0,500000000.0,600000000.0,700000000.0,Mining,23000,Government of Belarus
Naftogaz,Ukraine,1991,17400000000.0,18700000000.0,20000000000.0,1100000000.0,2200000000.0,3300000000.0,Oil and gas,107000,Government of Ukraine
PKN Orlen,Poland,1998,32600000000.0,34100000000.0,35600000000.0,2300000000.0,3300000000.0,4300000000.0,Oil and gas,29000,Government of Poland
KGHM,Poland,1961,10600000000.0,11200000000.0,11800000000.0,1100000000.0,1600000000.0,2100000000.0,Mining,28000,Government of Poland
Ukrtelecom,Ukraine,1992,2300000000.0,2400000000.0,2500000000.0,200000000.0,300000000.0,400000000.0,Telecommunications,27000,Government of Ukraine
Valeo,Poland,1943,16900000000.0,18000000000.0,19100000000.0,1400000000.0,1500000000.0,1600000000.0,Automotive,78000,Tadeusz Walendowski
MTS,Belarus,1992,5500000000.0,5700000000.0,5900000000.0,900000000.0,1000000000.0,1100000000.0,Telecommunications,27000,Government of Belarus
Nordea Bank,Ukraine,1991,4400000000.0,4600000000.0,4800000000.0,900000000.0,1000000000.0,1100000000.0,Banking,22000,Government of Ukraine
Nordea Bank,Ukraine,1991,4400000000.0,4600000000.0,4800000000.0,900000000.0,1000000000.0,1100000000.0,Banking,38000,Government of Sweden
Roshen,Ukraine,1996,2100000000.0,2200000000.0,2300000000.0,200000000.0,300000000.0,400000000.0,Confectionery,20000,Petro Poroshenko
PZU,Poland,1804,9600000000.0,10100000000.0,10600000000.0,1200000000.0,1300000000.0,1400000000.0,Insurance,18000,Government of Poland
PGE,Poland,1945,11600000000.0,12100000000.0,12600000000.0,1400000000.0,1500000000.0,1600000000.0,Energy,16000,Government of Poland
Ukrainian Railways,Ukraine,1992,4200000000.0,4400000000.0,4600000000.0,400000000.0,500000000.0,600000000.0,Transportation,15000,Government of Ukraine
Agromet,Poland,1963,1300000000.0,1400000000.0,1500000000.0,100000000.0,200000000.0,300000000.0,Agriculture,14000,Government of Poland
Kredyt Bank,Poland,1971,3600000000.0,3800000000.0,4000000000.0,400000000.0,500000000.0,600000000.0,Banking,13000,Government of Poland
Budimex,Poland,1970,2900000000.0,3000000000.0,3100000000.0,300000000.0,400000000.0,500000000.0,Construction,12000,Marek Dąbrowski
Sinopec,China,1998,414500000000.0,429100000000.0,443700000000.0,5700000000.0,7700000000.0,9700000000.0,Oil and gas,538000,Government of China
Industrial and Commercial Bank of China,China,1984,168800000000.0,174600000000.0,180400000000.0,30200000000.0,33200000000.0,36200000000.0,Banking,459000,Government of China
China National Petroleum,China,1988,431100000000.0,446600000000.0,462100000000.0,9600000000.0,11600000000.0,13600000000.0,Oil and gas,1500000,Government of China
China CITIC Bank,China,1987,72400000000.0,75000000000.0,77600000000.0,12000000000.0,13000000000.0,14000000000.0,Banking,220000,Government of China
Agricultural Bank of China,China,1979,154900000000.0,160700000000.0,166500000000.0,25100000000.0,28100000000.0,31100000000.0,Banking,402000,Government of China
China Life Insurance,China,1949,112400000000.0,116600000000.0,120800000000.0,14300000000.0,16300000000.0,18300000000.0,Insurance,476000,Government of China
China Construction Bank,China,1954,129100000000.0,133700000000.0,138300000000.0,26100000000.0,29100000000.0,32100000000.0,Banking,446000,Government of China
China Development Bank,China,1994,63100000000.0,65500000000.0,67900000000.0,9900000000.0,11900000000.0,13900000000.0,Banking,84000,Government of China
Ping An Insurance,China,1988,176800000000.0,183500000000.0,190200000000.0,24500000000.0,27500000000.0,30500000000.0,Insurance,389000,Ma Mingzhe
Bank of China,China,1912,136600000000.0,141400000000.0,146200000000.0,23600000000.0,26600000000.0,29600000000.0,Banking,434000,Government of China
HSBC,United Kingdom,1865,51700000000.0,53200000000.0,54700000000.0,7100000000.0,8100000000.0,9100000000.0,Banking,235000,Sir Thomas Sutherland
BP,United Kingdom,1909,303700000000.0,303500000000.0,303300000000.0,6200000000.0,4700000000.0,3200000000.0,Oil and gas,73000,William Knox D'Arcy
Royal Dutch Shell,United Kingdom,1907,388400000000.0,396600000000.0,404800000000.0,23700000000.0,19700000000.0,15700000000.0,Oil and gas,84000,Marcus Samuel
Royal Dutch Shell,United Kingdom,1907,388400000000.0,396600000000.0,404800000000.0,23700000000.0,19700000000.0,15700000000.0,Oil and gas,92000,"Marcus Samuel, Samuel Samuel"
Tesco,United Kingdom,1919,101900000000.0,101700000000.0,101500000000.0,2800000000.0,2300000000.0,1800000000.0,Retail,460000,Jack Cohen
Unilever,United Kingdom,1929,60200000000.0,61900000000.0,63600000000.0,7100000000.0,7900000000.0,8700000000.0,Consumer goods,169000,William Lever
Unilever,United Kingdom,1929,60200000000.0,61900000000.0,63600000000.0,7100000000.0,7900000000.0,8700000000.0,Consumer goods,169000,"William Lever, James Darcy Lever"
Vodafone,United Kingdom,1991,47900000000.0,49100000000.0,50300000000.0,2200000000.0,2300000000.0,2400000000.0,Telecommunications,107000,Gerard Kleisterlee
GlaxoSmithKline,United Kingdom,2000,40200000000.0,41300000000.0,42400000000.0,7800000000.0,8800000000.0,9800000000.0,Pharmaceuticals,99000,Sir Andrew Witty
AstraZeneca,United Kingdom,1999,23100000000.0,23800000000.0,24500000000.0,4900000000.0,5900000000.0,6900000000.0,Pharmaceuticals,70000,Sir Tom McKillop
British American Tobacco,United Kingdom,1902,27300000000.0,27900000000.0,28500000000.0,7400000000.0,8400000000.0,9400000000.0,Tobacco,53000,James Buchanan Duke
BT Group,United Kingdom,1984,23400000000.0,23800000000.0,24200000000.0,2400000000.0,2800000000.0,3200000000.0,Telecommunications,107000,Government of the United Kingdom
Rolls-Royce,United Kingdom,1906,20900000000.0,21200000000.0,21500000000.0,1300000000.0,1600000000.0,1900000000.0,Aerospace and defense,50000,"Charles Rolls, Henry Royce"
British Airways,United Kingdom,1974,16900000000.0,17100000000.0,17300000000.0,2200000000.0,2500000000.0,2800000000.0,Airlines,43000,Government of the United Kingdom
Lloyds Bank,United Kingdom,1765,27400000000.0,28000000000.0,28600000000.0,3700000000.0,4700000000.0,5700000000.0,Banking,75000,Government of the United Kingdom
Anglo American,United Kingdom,1917,22800000000.0,23400000000.0,24000000000.0,3300000000.0,4300000000.0,5300000000.0,Mining,72000,Ernest Oppenheimer
Standard Chartered,United Kingdom,1969,17700000000.0,18100000000.0,18500000000.0,1900000000.0,2900000000.0,3900000000.0,Banking,87000,"James Wilson, Chartered Bank of India, Australia and China"
GSK Consumer Healthcare,United Kingdom,2000,10300000000.0,10600000000.0,10900000000.0,2000000000.0,2300000000.0,2600000000.0,Consumer healthcare,40000,Sir Andrew Witty
Royal Bank of Scotland,United Kingdom,1727,33400000000.0,34000000000.0,34600000000.0,2900000000.0,3900000000.0,4900000000.0,Banking,71000,Government of the United Kingdom
Aviva,United Kingdom,1696,37400000000.0,38200000000.0,39000000000.0,4400000000.0,5400000000.0,6400000000.0,Insurance,34000,Government of the United Kingdom
Diageo,United Kingdom,1997,15800000000.0,16200000000.0,16600000000.0,3600000000.0,4600000000.0,5600000000.0,Beverages,34000,"Anthony Greener, John McGrath"
Legal & General,United Kingdom,1836,17800000000.0,18200000000.0,18600000000.0,2800000000.0,3800000000.0,4800000000.0,Insurance,9000,"John Tomlinson, John Knight, Nathaniel Smith"
National Grid,United Kingdom,1990,35100000000.0,35700000000.0,36300000000.0,4400000000.0,5400000000.0,6400000000.0,Energy,28000,Government of the United Kingdom
Prudential,United Kingdom,1848,59900000000.0,61600000000.0,63300000000.0,8900000000.0,9900000000.0,10900000000.0,Insurance,24000,John Dryden
Tesco Bank,United Kingdom,1997,2400000000.0,2500000000.0,2600000000.0,300000000.0,400000000.0,500000000.0,Banking,7000,Jack Cohen
Standard Life,United Kingdom,1825,34900000000.0,35500000000.0,36100000000.0,5900000000.0,6900000000.0,7900000000.0,Insurance,9000,Sir John Clapham
Avon Products,United Kingdom,1886,5700000000.0,5800000000.0,5900000000.0,600000000.0,700000000.0,800000000.0,Beauty,6000,David H. McConnell
BHP,Australia,1885,44400000000.0,44800000000.0,45200000000.0,9400000000.0,8400000000.0,7400000000.0,Mining,33000,"Charles Edgar Lawrence, George Lansell"
Commonwealth Bank of Australia,Australia,1911,38700000000.0,39300000000.0,39900000000.0,9900000000.0,8900000000.0,7900000000.0,Banking,48000,Government of Australia
National Australia Bank,Australia,1982,27700000000.0,28300000000.0,28900000000.0,6700000000.0,5700000000.0,4700000000.0,Banking,30000,Government of Australia
ANZ,Australia,1951,27600000000.0,28200000000.0,28800000000.0,6600000000.0,5600000000.0,4600000000.0,Banking,50000,Government of Australia
Westpac,Australia,1817,29400000000.0,30000000000.0,30600000000.0,7400000000.0,6400000000.0,5400000000.0,Banking,34000,"Edward Smith Hall, Reverend John West"
Rio Tinto,Australia,1873,35500000000.0,36100000000.0,36700000000.0,10500000000.0,9500000000.0,8500000000.0,Mining,47000,"Charles Dunell, James Macarthur"
Telstra,Australia,1975,28900000000.0,29500000000.0,30100000000.0,6900000000.0,5900000000.0,4900000000.0,Telecommunications,30000,Government of Australia
Qantas,Australia,1920,15700000000.0,15900000000.0,16100000000.0,900000000.0,1900000000.0,2900000000.0,Airlines,30000,"Hudson Fysh, Paul McGinness, Fergus McMaster"
Woodside Petroleum,Australia,1954,10400000000.0,10600000000.0,10800000000.0,1400000000.0,2400000000.0,3400000000.0,Oil and gas,3500,Lawrence Broomhall
Wesfarmers,Australia,1914,62700000000.0,63300000000.0,63900000000.0,3700000000.0,4700000000.0,5700000000.0,Diversified,220000,"Cyril Wilson, Jack Wilson"
Woolworths,Australia,1924,62400000000.0,63000000000.0,63600000000.0,2400000000.0,3400000000.0,4400000000.0,Retail,215000,"Percy Christmas, Stanley Chatterton"
Boral,Australia,1946,5500000000.0,5600000000.0,5700000000.0,500000000.0,1500000000.0,2500000000.0,Construction materials,12000,"Edgar Albert Taylor, James Langham"
AMP,Australia,1849,16300000000.0,16500000000.0,16700000000.0,1300000000.0,2300000000.0,3300000000.0,Financial services,12000,Edward Wilson
Wesfert,Australia,1999,12900000000.0,13100000000.0,13300000000.0,1900000000.0,2900000000.0,3900000000.0,Agriculture,3000,"John Embling, Keith Masters"
IAG,Australia,1920,20300000000.0,20500000000.0,20700000000.0,1300000000.0,2300000000.0,3300000000.0,Insurance,16000,Government of Australia
OTP Bank,Hungary,1949,10300000000.0,10500000000.0,10700000000.0,1300000000.0,2300000000.0,3300000000.0,Banking,32000,Government of Hungary
Magyar Telekom,Hungary,1991,2500000000.0,2600000000.0,2700000000.0,500000000.0,1500000000.0,2500000000.0,Telecommunications,8000,Government of Hungary
Mol Group,Hungary,1991,23900000000.0,24500000000.0,25100000000.0,2900000000.0,3900000000.0,4900000000.0,Oil and gas,25000,Government of Hungary
Erste Bank,Hungary,1819,7900000000.0,8100000000.0,8300000000.0,1000000000.0,2000000000.0,3000000000.0,Banking,17000,Government of Austria
Magyar Posta,Hungary,1867,1100000000.0,1200000000.0,1300000000.0,100000000.0,200000000.0,300000000.0,Postal service,14000,Government of Hungary
Lietuvos Energija,Lithuania,1991,1300000000.0,1400000000.0,1500000000.0,130000000.0,140000000.0,150000000.0,Energy,4000,Government of Lithuania
Danske Bank,Finland,1992,2100000000.0,2200000000.0,2300000000.0,210000000.0,220000000.0,230000000.0,Banking,3000,Danske Bank
Danske Bank,Finland,1992,2100000000.0,2200000000.0,2300000000.0,210000000.0,220000000.0,230000000.0,Banking,1000,Danske Bank
Ericsson,Sweden,1876,23100000000.0,23500000000.0,23900000000.0,2100000000.0,3100000000.0,4100000000.0,Telecommunications,104000,Lars Magnus Ericsson
H&M,Sweden,1947,23800000000.0,24200000000.0,24600000000.0,2800000000.0,3800000000.0,4800000000.0,Retail,162000,Erling Persson
Volvo,Sweden,1927,41300000000.0,41900000000.0,42500000000.0,4300000000.0,5300000000.0,6300000000.0,Automobiles,110000,"Assar Gabrielsson, Gustaf Larson"
IKEA,Sweden,1943,47900000000.0,48700000000.0,49500000000.0,4900000000.0,5900000000.0,6900000000.0,Furniture,192000,Ingvar Kamprad
Nordea Bank,Sweden,1997,10800000000.0,11000000000.0,11200000000.0,1100000000.0,2100000000.0,3100000000.0,Banking,22000,Government of Ukraine
Nordea Bank,Sweden,1997,10800000000.0,11000000000.0,11200000000.0,1100000000.0,2100000000.0,3100000000.0,Banking,38000,Government of Sweden
Telia Eesti,Estonia,1991,313000000.0,318000000.0,323000000.0,31000000.0,32000000.0,33000000.0,Telecommunications,1100,Telia Company
Swedbank,Estonia,1992,1100000000.0,1200000000.0,1300000000.0,110000000.0,120000000.0,130000000.0,Banking,2000,Swenska Handelsbanken
SEB Bank,Estonia,1992,580000000.0,590000000.0,600000000.0,58000000.0,59000000.0,60000000.0,Banking,1000,Skandinaviska Enskilda Banken
Danske Bank,Estonia,1992,510000000.0,520000000.0,530000000.0,51000000.0,52000000.0,53000000.0,Banking,3000,Danske Bank
Danske Bank,Estonia,1992,510000000.0,520000000.0,530000000.0,51000000.0,52000000.0,53000000.0,Banking,1000,Danske Bank
Eesti Energia,Estonia,1939,1100000000.0,1200000000.0,1300000000.0,110000000.0,120000000.0,130000000.0,Energy,1800,Government of Estonia
Banco Santander,Spain,1857,31900000000.0,32500000000.0,33100000000.0,3900000000.0,4900000000.0,5900000000.0,Banking,200000,Emilio Botín
Repsol,Spain,1986,24600000000.0,25200000000.0,25800000000.0,2600000000.0,3600000000.0,4600000000.0,Oil and gas,30000,Government of Spain
Mapfre,Spain,1933,29100000000.0,29700000000.0,30300000000.0,2900000000.0,3900000000.0,4900000000.0,Insurance,40000,Government of Spain
Iberdrola,Spain,1869,35300000000.0,35900000000.0,36500000000.0,3500000000.0,4500000000.0,5500000000.0,Energy,30000,Government of Spain
Ferrovial,Spain,1952,12500000000.0,12700000000.0,12900000000.0,1500000000.0,2500000000.0,3500000000.0,Construction and services,150000,Rafael Del Pino
Banco Sabadell,Spain,1881,4400000000.0,4500000000.0,4600000000.0,400000000.0,1400000000.0,2400000000.0,Banking,14000,Government of Spain
ACS,Spain,1997,56200000000.0,56800000000.0,57400000000.0,5600000000.0,6600000000.0,7600000000.0,Construction and services,100000,Florentino Pérez
Banco Popular,Spain,1926,2800000000.0,2900000000.0,3000000000.0,300000000.0,400000000.0,500000000.0,Banking,8000,Government of Spain
Banco de Valencia,Spain,1419,3300000000.0,3400000000.0,3500000000.0,300000000.0,400000000.0,500000000.0,Banking,5000,Government of Spain
Banco Bilbao Vizcaya Argentaria (BBVA),Spain,1857,26800000000.0,27400000000.0,28000000000.0,2700000000.0,3700000000.0,4700000000.0,Banking,150000,Government of Spain
Petrobras,Brazil,1953,98400000000.0,99600000000.0,100800000000.0,9800000000.0,10900000000.0,12000000000.0,Oil and gas,73000,Government of Brazil
Banco do Brasil,Brazil,1808,62500000000.0,63500000000.0,64500000000.0,6300000000.0,7300000000.0,8300000000.0,Banking,150000,Government of Brazil
